,Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Refugees under UNHCR's mandate,Asylum-seekers,IDPs of concern to UNHCR,Other people in need of international protection,Stateless persons,Host Community,Others of concern
28879,2016,Algeria,DZA,United Kingdom of Great Britain and Northern Ireland,GBR,321,176.0,0.0,-,0.0,-,0.0
28878,2016,Algeria,DZA,France,FRA,1534,1273.0,0.0,-,0.0,-,0.0
28877,2016,Algeria,DZA,Finland,FIN,18,5.0,0.0,-,0.0,-,0.0
28876,2016,Algeria,DZA,Denmark,DNK,5,42.0,0.0,-,0.0,-,0.0
28875,2016,Algeria,DZA,Czechia,CZE,0,8.0,0.0,-,0.0,-,0.0
28874,2016,Algeria,DZA,Cyprus,CYP,8,0.0,0.0,-,0.0,-,0.0
28873,2016,Algeria,DZA,Bulgaria,BGR,0,33.0,0.0,-,0.0,-,0.0
28883,2016,Algeria,DZA,Hungary,HUN,15,78.0,0.0,-,0.0,-,0.0
28872,2016,Algeria,DZA,Belgium,BEL,46,80.0,0.0,-,0.0,-,0.0
29442,2016,Palestinian,PSE,Italy,ITA,792,226.0,0.0,-,0.0,-,0.0
28869,2016,Albania,ALB,Sweden,SWE,351,432.0,0.0,-,0.0,-,0.0
28868,2016,Albania,ALB,Norway,NOR,17,16.0,0.0,-,0.0,-,0.0
28867,2016,Albania,ALB,Netherlands (Kingdom of the),NLD,8,79.0,0.0,-,0.0,-,0.0
28866,2016,Albania,ALB,Luxembourg,LUX,82,159.0,0.0,-,0.0,-,0.0
28865,2016,Albania,ALB,Italy,ITA,458,395.0,0.0,-,0.0,-,0.0
28864,2016,Albania,ALB,Ireland,IRL,74,382.0,0.0,-,0.0,-,0.0
28863,2016,Albania,ALB,Iceland,ISL,5,12.0,0.0,-,0.0,-,0.0
28862,2016,Albania,ALB,Greece,GRC,146,1470.0,0.0,-,0.0,-,0.0
28861,2016,Albania,ALB,Germany,DEU,699,11258.0,0.0,-,0.0,-,0.0
28871,2016,Algeria,DZA,Austria,AUT,53,570.0,0.0,-,0.0,-,0.0
28884,2016,Algeria,DZA,Iceland,ISL,0,5.0,0.0,-,0.0,-,0.0
28885,2016,Algeria,DZA,Ireland,IRL,186,142.0,0.0,-,0.0,-,0.0
28886,2016,Algeria,DZA,Italy,ITA,165,83.0,0.0,-,0.0,-,0.0
28909,2016,Angola,AGO,Norway,NOR,48,5.0,0.0,-,0.0,-,0.0
28908,2016,Angola,AGO,Netherlands (Kingdom of the),NLD,87,8.0,0.0,-,0.0,-,0.0
28907,2016,Angola,AGO,Luxembourg,LUX,15,0.0,0.0,-,0.0,-,0.0
28906,2016,Angola,AGO,Italy,ITA,44,5.0,0.0,-,0.0,-,0.0
28905,2016,Angola,AGO,Ireland,IRL,237,11.0,0.0,-,0.0,-,0.0
28904,2016,Angola,AGO,Hungary,HUN,5,0.0,0.0,-,0.0,-,0.0
28903,2016,Angola,AGO,Greece,GRC,5,0.0,0.0,-,0.0,-,0.0
28902,2016,Angola,AGO,Germany,DEU,748,296.0,0.0,-,0.0,-,0.0
28901,2016,Angola,AGO,United Kingdom of Great Britain and Northern Ireland,GBR,272,72.0,0.0,-,0.0,-,0.0
28900,2016,Angola,AGO,France,FRA,3408,576.0,0.0,-,0.0,-,0.0
28899,2016,Angola,AGO,Finland,FIN,150,5.0,0.0,-,0.0,-,0.0
28898,2016,Angola,AGO,Czechia,CZE,19,0.0,0.0,-,0.0,-,0.0
28897,2016,Angola,AGO,Belgium,BEL,91,42.0,0.0,-,0.0,-,0.0
28896,2016,Angola,AGO,Austria,AUT,105,9.0,0.0,-,0.0,-,0.0
28895,2016,Algeria,DZA,Ukraine,UKR,0,14.0,0.0,-,0.0,-,0.0
28894,2016,Algeria,DZA,Switzerland,CHE,149,140.0,0.0,-,0.0,-,0.0
28893,2016,Algeria,DZA,Sweden,SWE,67,181.0,0.0,-,0.0,-,0.0
28892,2016,Algeria,DZA,Slovenia,SVN,0,7.0,0.0,-,0.0,-,0.0
28891,2016,Algeria,DZA,Romania,ROU,5,0.0,0.0,-,0.0,-,0.0
28890,2016,Algeria,DZA,Poland,POL,5,5.0,0.0,-,0.0,-,0.0
28889,2016,Algeria,DZA,Norway,NOR,21,11.0,0.0,-,0.0,-,0.0
28888,2016,Algeria,DZA,Netherlands (Kingdom of the),NLD,20,361.0,0.0,-,0.0,-,0.0
28887,2016,Algeria,DZA,Luxembourg,LUX,0,39.0,0.0,-,0.0,-,0.0
28860,2016,Albania,ALB,United Kingdom of Great Britain and Northern Ireland,GBR,2256,2290.0,0.0,-,0.0,-,0.0
28910,2016,Angola,AGO,Sweden,SWE,73,20.0,0.0,-,0.0,-,0.0
28859,2016,Albania,ALB,France,FRA,3568,5032.0,0.0,-,0.0,-,0.0
28857,2016,Albania,ALB,Estonia,EST,0,8.0,0.0,-,0.0,-,0.0
28829,2016,Afghanistan,AFG,Finland,FIN,2216,986.0,0.0,-,0.0,-,0.0
28828,2016,Afghanistan,AFG,Estonia,EST,23,0.0,0.0,-,0.0,-,0.0
28827,2016,Afghanistan,AFG,Denmark,DNK,2364,1689.0,0.0,-,0.0,-,0.0
28826,2016,Afghanistan,AFG,Czechia,CZE,234,16.0,0.0,-,0.0,-,0.0
28825,2016,Afghanistan,AFG,Cyprus,CYP,7,7.0,0.0,-,0.0,-,0.0
28824,2016,Afghanistan,AFG,Bulgaria,BGR,170,7636.0,0.0,-,0.0,-,0.0
28823,2016,Afghanistan,AFG,Belarus,BLR,227,6.0,0.0,-,0.0,-,0.0
28822,2016,Afghanistan,AFG,Belgium,BEL,3201,6457.0,0.0,-,0.0,-,0.0
28821,2016,Afghanistan,AFG,Austria,AUT,20220,29783.0,0.0,-,0.0,-,0.0
30393,2016,Somalia,SOM,Finland,FIN,3304,501.0,0.0,-,0.0,-,0.0
28830,2016,Afghanistan,AFG,France,FRA,7685,4180.0,0.0,-,0.0,-,0.0
30394,2016,Somalia,SOM,France,FRA,2524,1191.0,0.0,-,0.0,-,0.0
30396,2016,Somalia,SOM,Germany,DEU,7879,15973.0,0.0,-,0.0,-,0.0
30397,2016,Somalia,SOM,Greece,GRC,262,80.0,0.0,-,0.0,-,0.0
30398,2016,Somalia,SOM,Croatia,HRV,21,0.0,0.0,-,0.0,-,0.0
30399,2016,Somalia,SOM,Hungary,HUN,644,18.0,0.0,-,0.0,-,0.0
30400,2016,Somalia,SOM,Iceland,ISL,10,10.0,0.0,-,0.0,-,0.0
30401,2016,Somalia,SOM,Ireland,IRL,480,32.0,0.0,-,0.0,-,0.0
30402,2016,Somalia,SOM,Italy,ITA,14336,1501.0,0.0,-,0.0,-,0.0
30403,2016,Somalia,SOM,Luxembourg,LUX,44,6.0,0.0,-,0.0,-,0.0
30404,2016,Somalia,SOM,Malta,MLT,1724,145.0,0.0,-,0.0,-,0.0
30405,2016,Somalia,SOM,Netherlands (Kingdom of the),NLD,16512,197.0,0.0,-,0.0,-,0.0
30395,2016,Somalia,SOM,United Kingdom of Great Britain and Northern Ireland,GBR,5954,405.0,0.0,-,0.0,-,0.0
28831,2016,Afghanistan,AFG,United Kingdom of Great Britain and Northern Ireland,GBR,9752,2793.0,0.0,-,0.0,-,0.0
28832,2016,Afghanistan,AFG,Germany,DEU,46292,126522.0,0.0,-,0.0,-,0.0
28833,2016,Afghanistan,AFG,Greece,GRC,11440,4217.0,0.0,-,0.0,-,0.0
28856,2016,Albania,ALB,Denmark,DNK,6,5.0,0.0,-,0.0,-,0.0
28855,2016,Albania,ALB,Czechia,CZE,6,0.0,0.0,-,0.0,-,0.0
