,Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Refugees under UNHCR's mandate,Asylum-seekers,IDPs of concern to UNHCR,Other people in need of international protection,Stateless persons,Host Community,Others of concern
0,1999,Afghanistan,AFG,Austria,AUT,401,0.0,0.0,-,0.0,-,0.0
682,1999,Panama,PAN,Sweden,SWE,32,0.0,0.0,-,0.0,-,0.0
683,1999,Paraguay,PRY,Netherlands (Kingdom of the),NLD,5,0.0,0.0,-,0.0,-,0.0
684,1999,Paraguay,PRY,Sweden,SWE,5,0.0,0.0,-,0.0,-,0.0
685,1999,Peru,PER,Austria,AUT,5,0.0,0.0,-,0.0,-,0.0
686,1999,Peru,PER,Belgium,BEL,71,0.0,0.0,-,0.0,-,0.0
687,1999,Peru,PER,Denmark,DNK,37,0.0,0.0,-,0.0,-,0.0
688,1999,Peru,PER,France,FRA,395,0.0,0.0,-,0.0,-,0.0
689,1999,Peru,PER,United Kingdom of Great Britain and Northern Ireland,GBR,20,0.0,0.0,-,0.0,-,0.0
690,1999,Peru,PER,Italy,ITA,5,0.0,0.0,-,0.0,-,0.0
691,1999,Peru,PER,Netherlands (Kingdom of the),NLD,42,0.0,0.0,-,0.0,-,0.0
692,1999,Peru,PER,Norway,NOR,71,0.0,0.0,-,0.0,-,0.0
693,1999,Peru,PER,Sweden,SWE,1492,0.0,0.0,-,0.0,-,0.0
694,1999,Peru,PER,Switzerland,CHE,36,0.0,0.0,-,0.0,-,0.0
681,1999,Panama,PAN,Netherlands (Kingdom of the),NLD,5,0.0,0.0,-,0.0,-,0.0
695,1999,Philippines,PHL,Netherlands (Kingdom of the),NLD,7,0.0,0.0,-,0.0,-,0.0
697,1999,Papua New Guinea,PNG,Netherlands (Kingdom of the),NLD,6,0.0,0.0,-,0.0,-,0.0
698,1999,Poland,POL,Austria,AUT,11,0.0,0.0,-,0.0,-,0.0
699,1999,Poland,POL,Belgium,BEL,15,0.0,0.0,-,0.0,-,0.0
700,1999,Poland,POL,Denmark,DNK,34,0.0,0.0,-,0.0,-,0.0
701,1999,Poland,POL,France,FRA,364,0.0,0.0,-,0.0,-,0.0
702,1999,Poland,POL,United Kingdom of Great Britain and Northern Ireland,GBR,10,0.0,0.0,-,0.0,-,0.0
703,1999,Poland,POL,Netherlands (Kingdom of the),NLD,88,0.0,0.0,-,0.0,-,0.0
704,1999,Poland,POL,Norway,NOR,19,0.0,0.0,-,0.0,-,0.0
705,1999,Poland,POL,Sweden,SWE,245,0.0,0.0,-,0.0,-,0.0
706,1999,Poland,POL,Switzerland,CHE,42,0.0,0.0,-,0.0,-,0.0
707,1999,Romania,ROU,Austria,AUT,2375,0.0,0.0,-,0.0,-,0.0
708,1999,Romania,ROU,Belgium,BEL,338,0.0,0.0,-,0.0,-,0.0
709,1999,Romania,ROU,Czechia,CZE,177,0.0,0.0,-,0.0,-,0.0
696,1999,Philippines,PHL,Sweden,SWE,12,0.0,0.0,-,0.0,-,0.0
710,1999,Romania,ROU,Denmark,DNK,155,0.0,0.0,-,0.0,-,0.0
680,1999,Pakistan,PAK,Switzerland,CHE,181,0.0,0.0,-,0.0,-,0.0
678,1999,Pakistan,PAK,Romania,ROU,5,0.0,0.0,-,0.0,-,0.0
650,1999,Nicaragua,NIC,Sweden,SWE,20,0.0,0.0,-,0.0,-,0.0
651,1999,Nigeria,NGA,Austria,AUT,54,0.0,0.0,-,0.0,-,0.0
652,1999,Nigeria,NGA,Belgium,BEL,6,0.0,0.0,-,0.0,-,0.0
653,1999,Nigeria,NGA,Czechia,CZE,20,0.0,0.0,-,0.0,-,0.0
654,1999,Nigeria,NGA,Denmark,DNK,16,0.0,0.0,-,0.0,-,0.0
655,1999,Nigeria,NGA,Finland,FIN,11,0.0,0.0,-,0.0,-,0.0
656,1999,Nigeria,NGA,France,FRA,148,0.0,0.0,-,0.0,-,0.0
657,1999,Nigeria,NGA,United Kingdom of Great Britain and Northern Ireland,GBR,310,0.0,0.0,-,0.0,-,0.0
658,1999,Nigeria,NGA,Hungary,HUN,29,0.0,0.0,-,0.0,-,0.0
659,1999,Nigeria,NGA,Ireland,IRL,17,0.0,0.0,-,0.0,-,0.0
660,1999,Nigeria,NGA,Italy,ITA,11,0.0,0.0,-,0.0,-,0.0
661,1999,Nigeria,NGA,Netherlands (Kingdom of the),NLD,109,0.0,0.0,-,0.0,-,0.0
662,1999,Nigeria,NGA,Norway,NOR,11,0.0,0.0,-,0.0,-,0.0
679,1999,Pakistan,PAK,Sweden,SWE,92,0.0,0.0,-,0.0,-,0.0
663,1999,Nigeria,NGA,Sweden,SWE,35,0.0,0.0,-,0.0,-,0.0
665,1999,Nigeria,NGA,Ukraine,UKR,5,0.0,0.0,-,0.0,-,0.0
666,1999,Pakistan,PAK,Austria,AUT,40,0.0,0.0,-,0.0,-,0.0
667,1999,Pakistan,PAK,Belgium,BEL,196,0.0,0.0,-,0.0,-,0.0
668,1999,Pakistan,PAK,Denmark,DNK,19,0.0,0.0,-,0.0,-,0.0
669,1999,Pakistan,PAK,Finland,FIN,17,0.0,0.0,-,0.0,-,0.0
670,1999,Pakistan,PAK,France,FRA,125,0.0,0.0,-,0.0,-,0.0
671,1999,Pakistan,PAK,United Kingdom of Great Britain and Northern Ireland,GBR,765,0.0,0.0,-,0.0,-,0.0
672,1999,Pakistan,PAK,Hungary,HUN,5,0.0,0.0,-,0.0,-,0.0
673,1999,Pakistan,PAK,Iceland,ISL,5,0.0,0.0,-,0.0,-,0.0
674,1999,Pakistan,PAK,Italy,ITA,37,0.0,0.0,-,0.0,-,0.0
675,1999,Pakistan,PAK,Netherlands (Kingdom of the),NLD,193,0.0,0.0,-,0.0,-,0.0
676,1999,Pakistan,PAK,Norway,NOR,65,0.0,0.0,-,0.0,-,0.0
677,1999,Pakistan,PAK,Poland,POL,6,0.0,0.0,-,0.0,-,0.0
664,1999,Nigeria,NGA,Switzerland,CHE,11,0.0,0.0,-,0.0,-,0.0
711,1999,Romania,ROU,Finland,FIN,113,0.0,0.0,-,0.0,-,0.0
712,1999,Romania,ROU,France,FRA,672,0.0,0.0,-,0.0,-,0.0
713,1999,Romania,ROU,United Kingdom of Great Britain and Northern Ireland,GBR,70,0.0,0.0,-,0.0,-,0.0
747,1999,Rwanda,RWA,Belgium,BEL,2108,0.0,0.0,-,0.0,-,0.0
748,1999,Rwanda,RWA,Denmark,DNK,105,0.0,0.0,-,0.0,-,0.0
749,1999,Rwanda,RWA,Finland,FIN,17,0.0,0.0,-,0.0,-,0.0
750,1999,Rwanda,RWA,France,FRA,675,0.0,0.0,-,0.0,-,0.0
751,1999,Rwanda,RWA,United Kingdom of Great Britain and Northern Ireland,GBR,355,0.0,0.0,-,0.0,-,0.0
752,1999,Rwanda,RWA,Ireland,IRL,7,0.0,0.0,-,0.0,-,0.0
753,1999,Rwanda,RWA,Italy,ITA,161,0.0,0.0,-,0.0,-,0.0
754,1999,Rwanda,RWA,Netherlands (Kingdom of the),NLD,509,0.0,0.0,-,0.0,-,0.0
755,1999,Rwanda,RWA,Norway,NOR,196,0.0,0.0,-,0.0,-,0.0
756,1999,Rwanda,RWA,Poland,POL,13,0.0,0.0,-,0.0,-,0.0
757,1999,Rwanda,RWA,Romania,ROU,14,0.0,0.0,-,0.0,-,0.0
758,1999,Rwanda,RWA,Sweden,SWE,66,0.0,0.0,-,0.0,-,0.0
759,1999,Rwanda,RWA,Switzerland,CHE,272,0.0,0.0,-,0.0,-,0.0
746,1999,Rwanda,RWA,Austria,AUT,45,0.0,0.0,-,0.0,-,0.0
760,1999,Rwanda,RWA,Ukraine,UKR,15,0.0,0.0,-,0.0,-,0.0
762,1999,El Salvador,SLV,Norway,NOR,33,0.0,0.0,-,0.0,-,0.0
763,1999,El Salvador,SLV,Sweden,SWE,911,0.0,0.0,-,0.0,-,0.0
764,1999,Saudi Arabia,SAU,Norway,NOR,5,0.0,0.0,-,0.0,-,0.0
765,1999,Saudi Arabia,SAU,Sweden,SWE,5,0.0,0.0,-,0.0,-,0.0
766,1999,Serbia and Kosovo: S/RES/1244 (1999),SRB,Albania,ALB,3918,0.0,0.0,-,0.0,-,0.0
767,1999,Serbia and Kosovo: S/RES/1244 (1999),SRB,Austria,AUT,5237,0.0,0.0,-,0.0,-,0.0
768,1999,Serbia and Kosovo: S/RES/1244 (1999),SRB,Belgium,BEL,849,0.0,0.0,-,0.0,-,0.0
769,1999,Serbia and Kosovo: S/RES/1244 (1999),SRB,Bulgaria,BGR,189,0.0,0.0,-,0.0,-,0.0
770,1999,Serbia and Kosovo: S/RES/1244 (1999),SRB,Cyprus,CYP,7,0.0,0.0,-,0.0,-,0.0
771,1999,Serbia and Kosovo: S/RES/1244 (1999),SRB,Czechia,CZE,55,0.0,0.0,-,0.0,-,0.0
772,1999,Serbia and Kosovo: S/RES/1244 (1999),SRB,Denmark,DNK,3807,0.0,0.0,-,0.0,-,0.0
773,1999,Serbia and Kosovo: S/RES/1244 (1999),SRB,Finland,FIN,3307,0.0,0.0,-,0.0,-,0.0
774,1999,Serbia and Kosovo: S/RES/1244 (1999),SRB,France,FRA,5886,0.0,0.0,-,0.0,-,0.0
761,1999,El Salvador,SLV,Netherlands (Kingdom of the),NLD,5,0.0,0.0,-,0.0,-,0.0
745,1999,Russian Federation,RUS,Ukraine,UKR,47,0.0,0.0,-,0.0,-,0.0
744,1999,Russian Federation,RUS,Switzerland,CHE,87,0.0,0.0,-,0.0,-,0.0
743,1999,Russian Federation,RUS,Sweden,SWE,1455,0.0,0.0,-,0.0,-,0.0
714,1999,Romania,ROU,Hungary,HUN,1316,0.0,0.0,-,0.0,-,0.0
715,1999,Romania,ROU,Iceland,ISL,5,0.0,0.0,-,0.0,-,0.0
716,1999,Romania,ROU,Ireland,IRL,81,0.0,0.0,-,0.0,-,0.0
717,1999,Romania,ROU,Italy,ITA,291,0.0,0.0,-,0.0,-,0.0
718,1999,Romania,ROU,Netherlands (Kingdom of the),NLD,247,0.0,0.0,-,0.0,-,0.0
719,1999,Romania,ROU,Norway,NOR,16,0.0,0.0,-,0.0,-,0.0
720,1999,Romania,ROU,Poland,POL,9,0.0,0.0,-,0.0,-,0.0
721,1999,Romania,ROU,Slovakia,SVK,34,0.0,0.0,-,0.0,-,0.0
722,1999,Romania,ROU,Sweden,SWE,1028,0.0,0.0,-,0.0,-,0.0
723,1999,Romania,ROU,Switzerland,CHE,279,0.0,0.0,-,0.0,-,0.0
724,1999,South Africa,ZAF,France,FRA,29,0.0,0.0,-,0.0,-,0.0
725,1999,South Africa,ZAF,United Kingdom of Great Britain and Northern Ireland,GBR,25,0.0,0.0,-,0.0,-,0.0
726,1999,South Africa,ZAF,Netherlands (Kingdom of the),NLD,25,0.0,0.0,-,0.0,-,0.0
727,1999,South Africa,ZAF,Sweden,SWE,27,0.0,0.0,-,0.0,-,0.0
728,1999,South Africa,ZAF,Switzerland,CHE,5,0.0,0.0,-,0.0,-,0.0
729,1999,Russian Federation,RUS,Austria,AUT,182,0.0,0.0,-,0.0,-,0.0
730,1999,Russian Federation,RUS,Belgium,BEL,39,0.0,0.0,-,0.0,-,0.0
731,1999,Russian Federation,RUS,Czechia,CZE,148,0.0,0.0,-,0.0,-,0.0
732,1999,Russian Federation,RUS,Denmark,DNK,180,0.0,0.0,-,0.0,-,0.0
733,1999,Russian Federation,RUS,Finland,FIN,133,0.0,0.0,-,0.0,-,0.0
734,1999,Russian Federation,RUS,France,FRA,1058,0.0,0.0,-,0.0,-,0.0
735,1999,Russian Federation,RUS,United Kingdom of Great Britain and Northern Ireland,GBR,215,0.0,0.0,-,0.0,-,0.0
736,1999,Russian Federation,RUS,Hungary,HUN,12,0.0,0.0,-,0.0,-,0.0
737,1999,Russian Federation,RUS,Ireland,IRL,19,0.0,0.0,-,0.0,-,0.0
738,1999,Russian Federation,RUS,Italy,ITA,24,0.0,0.0,-,0.0,-,0.0
739,1999,Russian Federation,RUS,Netherlands (Kingdom of the),NLD,1334,0.0,0.0,-,0.0,-,0.0
740,1999,Russian Federation,RUS,Norway,NOR,44,0.0,0.0,-,0.0,-,0.0
741,1999,Russian Federation,RUS,Poland,POL,11,0.0,0.0,-,0.0,-,0.0
742,1999,Russian Federation,RUS,Slovakia,SVK,13,0.0,0.0,-,0.0,-,0.0
649,1999,Nicaragua,NIC,Netherlands (Kingdom of the),NLD,5,0.0,0.0,-,0.0,-,0.0
648,1999,Nicaragua,NIC,Belgium,BEL,5,0.0,0.0,-,0.0,-,0.0
647,1999,Niger,NER,Romania,ROU,5,0.0,0.0,-,0.0,-,0.0
646,1999,Niger,NER,Netherlands (Kingdom of the),NLD,13,0.0,0.0,-,0.0,-,0.0
553,1999,Libya,LBY,Italy,ITA,5,0.0,0.0,-,0.0,-,0.0
554,1999,Libya,LBY,Netherlands (Kingdom of the),NLD,30,0.0,0.0,-,0.0,-,0.0
555,1999,Libya,LBY,Norway,NOR,19,0.0,0.0,-,0.0,-,0.0
556,1999,Libya,LBY,Sweden,SWE,30,0.0,0.0,-,0.0,-,0.0
557,1999,Libya,LBY,Switzerland,CHE,132,0.0,0.0,-,0.0,-,0.0
558,1999,Lebanon,LBN,Austria,AUT,57,0.0,0.0,-,0.0,-,0.0
559,1999,Lebanon,LBN,Belgium,BEL,118,0.0,0.0,-,0.0,-,0.0
560,1999,Lebanon,LBN,Bulgaria,BGR,5,0.0,0.0,-,0.0,-,0.0
561,1999,Lebanon,LBN,Cyprus,CYP,0,0.0,0.0,-,0.0,-,13.0
562,1999,Lebanon,LBN,Denmark,DNK,541,0.0,0.0,-,0.0,-,0.0
563,1999,Lebanon,LBN,Finland,FIN,27,0.0,0.0,-,0.0,-,0.0
564,1999,Lebanon,LBN,France,FRA,81,0.0,0.0,-,0.0,-,0.0
565,1999,Lebanon,LBN,United Kingdom of Great Britain and Northern Ireland,GBR,1430,0.0,0.0,-,0.0,-,0.0
552,1999,Libya,LBY,Ireland,IRL,50,0.0,0.0,-,0.0,-,0.0
566,1999,Lebanon,LBN,Italy,ITA,27,0.0,0.0,-,0.0,-,0.0
568,1999,Lebanon,LBN,Norway,NOR,234,0.0,0.0,-,0.0,-,0.0
569,1999,Lebanon,LBN,Poland,POL,16,0.0,0.0,-,0.0,-,0.0
570,1999,Lebanon,LBN,Sweden,SWE,3192,0.0,0.0,-,0.0,-,0.0
571,1999,Lebanon,LBN,Switzerland,CHE,63,0.0,0.0,-,0.0,-,0.0
572,1999,Sri Lanka,LKA,Austria,AUT,13,0.0,0.0,-,0.0,-,0.0
573,1999,Sri Lanka,LKA,Belgium,BEL,30,0.0,0.0,-,0.0,-,0.0
574,1999,Sri Lanka,LKA,Denmark,DNK,1058,0.0,0.0,-,0.0,-,0.0
575,1999,Sri Lanka,LKA,Finland,FIN,68,0.0,0.0,-,0.0,-,0.0
576,1999,Sri Lanka,LKA,France,FRA,15606,0.0,0.0,-,0.0,-,0.0
577,1999,Sri Lanka,LKA,United Kingdom of Great Britain and Northern Ireland,GBR,8375,0.0,0.0,-,0.0,-,0.0
578,1999,Sri Lanka,LKA,Italy,ITA,24,0.0,0.0,-,0.0,-,0.0
579,1999,Sri Lanka,LKA,Netherlands (Kingdom of the),NLD,2098,0.0,0.0,-,0.0,-,0.0
580,1999,Sri Lanka,LKA,Norway,NOR,2296,0.0,0.0,-,0.0,-,0.0
567,1999,Lebanon,LBN,Netherlands (Kingdom of the),NLD,360,0.0,0.0,-,0.0,-,0.0
551,1999,Libya,LBY,United Kingdom of Great Britain and Northern Ireland,GBR,20,0.0,0.0,-,0.0,-,0.0
550,1999,Libya,LBY,Finland,FIN,14,0.0,0.0,-,0.0,-,0.0
549,1999,Libya,LBY,Denmark,DNK,34,0.0,0.0,-,0.0,-,0.0
520,1999,Rep. of Korea,KOR,Sweden,SWE,5,0.0,0.0,-,0.0,-,0.0
521,1999,Dem. People's Rep. of Korea,PRK,Norway,NOR,5,0.0,0.0,-,0.0,-,0.0
522,1999,Kuwait,KWT,Denmark,DNK,11,0.0,0.0,-,0.0,-,0.0
523,1999,Kuwait,KWT,Netherlands (Kingdom of the),NLD,12,0.0,0.0,-,0.0,-,0.0
524,1999,Kuwait,KWT,Norway,NOR,6,0.0,0.0,-,0.0,-,0.0
525,1999,Kuwait,KWT,Sweden,SWE,49,0.0,0.0,-,0.0,-,0.0
526,1999,Kuwait,KWT,Switzerland,CHE,8,0.0,0.0,-,0.0,-,0.0
527,1999,Lao People's Dem. Rep.,LAO,Austria,AUT,22,0.0,0.0,-,0.0,-,0.0
528,1999,Lao People's Dem. Rep.,LAO,Belgium,BEL,17,0.0,0.0,-,0.0,-,0.0
529,1999,Lao People's Dem. Rep.,LAO,Denmark,DNK,12,0.0,0.0,-,0.0,-,0.0
530,1999,Lao People's Dem. Rep.,LAO,France,FRA,11667,0.0,0.0,-,0.0,-,0.0
531,1999,Lao People's Dem. Rep.,LAO,Norway,NOR,9,0.0,0.0,-,0.0,-,0.0
532,1999,Lao People's Dem. Rep.,LAO,Poland,POL,9,0.0,0.0,-,0.0,-,0.0
533,1999,Lao People's Dem. Rep.,LAO,Sweden,SWE,212,0.0,0.0,-,0.0,-,0.0
534,1999,Lao People's Dem. Rep.,LAO,Switzerland,CHE,268,0.0,0.0,-,0.0,-,0.0
535,1999,Liberia,LBR,Austria,AUT,20,0.0,0.0,-,0.0,-,0.0
536,1999,Liberia,LBR,Belgium,BEL,52,0.0,0.0,-,0.0,-,0.0
537,1999,Liberia,LBR,Denmark,DNK,31,0.0,0.0,-,0.0,-,0.0
538,1999,Liberia,LBR,Finland,FIN,31,0.0,0.0,-,0.0,-,0.0
539,1999,Liberia,LBR,France,FRA,159,0.0,0.0,-,0.0,-,0.0
540,1999,Liberia,LBR,United Kingdom of Great Britain and Northern Ireland,GBR,300,0.0,0.0,-,0.0,-,0.0
541,1999,Liberia,LBR,Hungary,HUN,7,0.0,0.0,-,0.0,-,0.0
542,1999,Liberia,LBR,Ireland,IRL,5,0.0,0.0,-,0.0,-,0.0
543,1999,Liberia,LBR,Italy,ITA,12,0.0,0.0,-,0.0,-,0.0
544,1999,Liberia,LBR,Netherlands (Kingdom of the),NLD,1040,0.0,0.0,-,0.0,-,0.0
545,1999,Liberia,LBR,Norway,NOR,5,0.0,0.0,-,0.0,-,0.0
546,1999,Liberia,LBR,Poland,POL,7,0.0,0.0,-,0.0,-,0.0
547,1999,Liberia,LBR,Sweden,SWE,48,0.0,0.0,-,0.0,-,0.0
548,1999,Liberia,LBR,Ukraine,UKR,5,0.0,0.0,-,0.0,-,0.0
581,1999,Sri Lanka,LKA,Poland,POL,65,0.0,0.0,-,0.0,-,0.0
775,1999,Serbia and Kosovo: S/RES/1244 (1999),SRB,United Kingdom of Great Britain and Northern Ireland,GBR,13310,0.0,0.0,-,0.0,-,0.0
582,1999,Sri Lanka,LKA,Sweden,SWE,466,0.0,0.0,-,0.0,-,0.0
584,1999,Sri Lanka,LKA,Ukraine,UKR,7,0.0,0.0,-,0.0,-,0.0
618,1999,Rep. of Moldova,MDA,Switzerland,CHE,5,0.0,0.0,-,0.0,-,0.0
619,1999,Mali,MLI,Belgium,BEL,5,0.0,0.0,-,0.0,-,0.0
620,1999,Mali,MLI,France,FRA,111,0.0,0.0,-,0.0,-,0.0
621,1999,Mali,MLI,Netherlands (Kingdom of the),NLD,10,0.0,0.0,-,0.0,-,0.0
622,1999,Mali,MLI,Sweden,SWE,8,0.0,0.0,-,0.0,-,0.0
623,1999,Malaysia,MYS,Sweden,SWE,6,0.0,0.0,-,0.0,-,0.0
624,1999,Malawi,MWI,Netherlands (Kingdom of the),NLD,5,0.0,0.0,-,0.0,-,0.0
625,1999,Malawi,MWI,Sweden,SWE,5,0.0,0.0,-,0.0,-,0.0
626,1999,Mongolia,MNG,Austria,AUT,7,0.0,0.0,-,0.0,-,0.0
627,1999,Mongolia,MNG,Netherlands (Kingdom of the),NLD,5,0.0,0.0,-,0.0,-,0.0
628,1999,Morocco,MAR,Belgium,BEL,21,0.0,0.0,-,0.0,-,0.0
629,1999,Morocco,MAR,Denmark,DNK,8,0.0,0.0,-,0.0,-,0.0
630,1999,Morocco,MAR,France,FRA,114,0.0,0.0,-,0.0,-,0.0
617,1999,Rep. of Moldova,MDA,Sweden,SWE,5,0.0,0.0,-,0.0,-,0.0
631,1999,Morocco,MAR,Italy,ITA,5,0.0,0.0,-,0.0,-,0.0
633,1999,Morocco,MAR,Norway,NOR,8,0.0,0.0,-,0.0,-,0.0
634,1999,Morocco,MAR,Sweden,SWE,65,0.0,0.0,-,0.0,-,0.0
635,1999,Morocco,MAR,Switzerland,CHE,17,0.0,0.0,-,0.0,-,0.0
636,1999,Myanmar,MMR,Belgium,BEL,5,0.0,0.0,-,0.0,-,0.0
637,1999,Myanmar,MMR,Denmark,DNK,16,0.0,0.0,-,0.0,-,0.0
638,1999,Myanmar,MMR,France,FRA,58,0.0,0.0,-,0.0,-,0.0
639,1999,Myanmar,MMR,United Kingdom of Great Britain and Northern Ireland,GBR,15,0.0,0.0,-,0.0,-,0.0
640,1999,Myanmar,MMR,Netherlands (Kingdom of the),NLD,40,0.0,0.0,-,0.0,-,0.0
641,1999,Myanmar,MMR,Norway,NOR,17,0.0,0.0,-,0.0,-,0.0
642,1999,Myanmar,MMR,Sweden,SWE,42,0.0,0.0,-,0.0,-,0.0
643,1999,Myanmar,MMR,Switzerland,CHE,7,0.0,0.0,-,0.0,-,0.0
644,1999,Namibia,NAM,Denmark,DNK,7,0.0,0.0,-,0.0,-,0.0
645,1999,Niger,NER,Finland,FIN,5,0.0,0.0,-,0.0,-,0.0
632,1999,Morocco,MAR,Netherlands (Kingdom of the),NLD,33,0.0,0.0,-,0.0,-,0.0
616,1999,Rep. of Moldova,MDA,Norway,NOR,5,0.0,0.0,-,0.0,-,0.0
615,1999,Rep. of Moldova,MDA,Netherlands (Kingdom of the),NLD,21,0.0,0.0,-,0.0,-,0.0
614,1999,Rep. of Moldova,MDA,France,FRA,36,0.0,0.0,-,0.0,-,0.0
585,1999,Lithuania,LTU,Denmark,DNK,10,0.0,0.0,-,0.0,-,0.0
586,1999,Lithuania,LTU,France,FRA,25,0.0,0.0,-,0.0,-,0.0
587,1999,Lithuania,LTU,Netherlands (Kingdom of the),NLD,16,0.0,0.0,-,0.0,-,0.0
588,1999,Lithuania,LTU,Sweden,SWE,14,0.0,0.0,-,0.0,-,0.0
589,1999,Latvia,LVA,France,FRA,40,0.0,0.0,-,0.0,-,0.0
590,1999,Latvia,LVA,Malta,MLT,5,0.0,0.0,-,0.0,-,0.0
591,1999,Latvia,LVA,Netherlands (Kingdom of the),NLD,10,0.0,0.0,-,0.0,-,0.0
592,1999,Latvia,LVA,Sweden,SWE,15,0.0,0.0,-,0.0,-,0.0
593,1999,Madagascar,MDG,France,FRA,41,0.0,0.0,-,0.0,-,0.0
594,1999,Mauritania,MRT,Belgium,BEL,73,0.0,0.0,-,0.0,-,0.0
595,1999,Mauritania,MRT,Denmark,DNK,12,0.0,0.0,-,0.0,-,0.0
596,1999,Mauritania,MRT,France,FRA,1513,0.0,0.0,-,0.0,-,0.0
597,1999,Mauritania,MRT,Netherlands (Kingdom of the),NLD,150,0.0,0.0,-,0.0,-,0.0
598,1999,Mauritania,MRT,Norway,NOR,5,0.0,0.0,-,0.0,-,0.0
599,1999,Mauritania,MRT,Sweden,SWE,6,0.0,0.0,-,0.0,-,0.0
600,1999,North Macedonia,MKD,Austria,AUT,9,0.0,0.0,-,0.0,-,0.0
601,1999,North Macedonia,MKD,Belgium,BEL,64,0.0,0.0,-,0.0,-,0.0
602,1999,North Macedonia,MKD,Denmark,DNK,47,0.0,0.0,-,0.0,-,0.0
603,1999,North Macedonia,MKD,Finland,FIN,9,0.0,0.0,-,0.0,-,0.0
604,1999,North Macedonia,MKD,France,FRA,38,0.0,0.0,-,0.0,-,0.0
605,1999,North Macedonia,MKD,Hungary,HUN,5,0.0,0.0,-,0.0,-,0.0
606,1999,North Macedonia,MKD,Italy,ITA,5,0.0,0.0,-,0.0,-,0.0
607,1999,North Macedonia,MKD,Netherlands (Kingdom of the),NLD,71,0.0,0.0,-,0.0,-,0.0
608,1999,North Macedonia,MKD,Norway,NOR,35,0.0,0.0,-,0.0,-,0.0
609,1999,North Macedonia,MKD,Serbia and Kosovo: S/RES/1244 (1999),SRB,1322,0.0,0.0,-,0.0,-,0.0
610,1999,North Macedonia,MKD,Sweden,SWE,242,0.0,0.0,-,0.0,-,0.0
611,1999,North Macedonia,MKD,Switzerland,CHE,42,0.0,0.0,-,0.0,-,0.0
612,1999,Rep. of Moldova,MDA,Belgium,BEL,5,0.0,0.0,-,0.0,-,0.0
613,1999,Rep. of Moldova,MDA,Denmark,DNK,21,0.0,0.0,-,0.0,-,0.0
583,1999,Sri Lanka,LKA,Switzerland,CHE,6985,0.0,0.0,-,0.0,-,0.0
776,1999,Serbia and Kosovo: S/RES/1244 (1999),SRB,Croatia,HRV,3414,0.0,0.0,-,0.0,-,0.0
777,1999,Serbia and Kosovo: S/RES/1244 (1999),SRB,Hungary,HUN,2520,0.0,0.0,-,0.0,-,0.0
778,1999,Serbia and Kosovo: S/RES/1244 (1999),SRB,Iceland,ISL,151,0.0,0.0,-,0.0,-,0.0
943,1999,Türkiye,TUR,France,FRA,10567,0.0,0.0,-,0.0,-,0.0
944,1999,Türkiye,TUR,United Kingdom of Great Britain and Northern Ireland,GBR,4985,0.0,0.0,-,0.0,-,0.0
945,1999,Türkiye,TUR,Greece,GRC,2274,0.0,0.0,-,0.0,-,0.0
946,1999,Türkiye,TUR,Hungary,HUN,5,0.0,0.0,-,0.0,-,0.0
947,1999,Türkiye,TUR,Italy,ITA,533,0.0,0.0,-,0.0,-,0.0
948,1999,Türkiye,TUR,Malta,MLT,9,0.0,0.0,-,0.0,-,0.0
949,1999,Türkiye,TUR,Netherlands (Kingdom of the),NLD,2045,0.0,0.0,-,0.0,-,0.0
950,1999,Türkiye,TUR,Norway,NOR,100,0.0,0.0,-,0.0,-,0.0
951,1999,Türkiye,TUR,Romania,ROU,40,0.0,0.0,-,0.0,-,0.0
952,1999,Türkiye,TUR,Sweden,SWE,2301,0.0,0.0,-,0.0,-,0.0
953,1999,Türkiye,TUR,Switzerland,CHE,5952,0.0,0.0,-,0.0,-,0.0
954,1999,Tuvalu,TUV,Netherlands (Kingdom of the),NLD,5,0.0,0.0,-,0.0,-,0.0
955,1999,Uganda,UGA,Austria,AUT,5,0.0,0.0,-,0.0,-,0.0
942,1999,Türkiye,TUR,Finland,FIN,171,0.0,0.0,-,0.0,-,0.0
956,1999,Uganda,UGA,Belgium,BEL,11,0.0,0.0,-,0.0,-,0.0
958,1999,Uganda,UGA,Finland,FIN,13,0.0,0.0,-,0.0,-,0.0
959,1999,Uganda,UGA,France,FRA,37,0.0,0.0,-,0.0,-,0.0
960,1999,Uganda,UGA,United Kingdom of Great Britain and Northern Ireland,GBR,3040,0.0,0.0,-,0.0,-,0.0
961,1999,Uganda,UGA,Netherlands (Kingdom of the),NLD,35,0.0,0.0,-,0.0,-,0.0
962,1999,Uganda,UGA,Norway,NOR,102,0.0,0.0,-,0.0,-,0.0
963,1999,Uganda,UGA,Sweden,SWE,596,0.0,0.0,-,0.0,-,0.0
964,1999,Uganda,UGA,Switzerland,CHE,46,0.0,0.0,-,0.0,-,0.0
965,1999,Ukraine,UKR,Austria,AUT,8,0.0,0.0,-,0.0,-,0.0
966,1999,Ukraine,UKR,Belgium,BEL,23,0.0,0.0,-,0.0,-,0.0
967,1999,Ukraine,UKR,Czechia,CZE,20,0.0,0.0,-,0.0,-,0.0
968,1999,Ukraine,UKR,Denmark,DNK,82,0.0,0.0,-,0.0,-,0.0
