,iyear,country_txt,region_txt,eventid,imonth,iday,approxdate,extended,resolution,country,region,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related
2281,2000,Latvia,Eastern Europe,3,3,3,0,3,0,3,3,3,3,3,3,3,3,1,3,3,3,3,3,1,1,3,3,3,3,3,0,0,0,0,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,3,2,3,3,1,1,0,0,0,0,0,0,1,3,3,3,3,1,1,1,1,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,2,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,3,3,3,3,3,0
2284,2000,Macedonia,Eastern Europe,3,3,3,0,3,0,3,3,3,3,3,3,3,3,1,3,3,3,3,3,0,0,3,3,3,3,3,0,0,0,0,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,3,1,3,3,0,0,0,0,0,0,0,0,0,3,3,3,3,1,1,1,1,0,0,0,0,0,0,0,0,2,3,3,3,3,3,3,3,2,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,0
2287,2000,Moldova,Eastern Europe,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0
2291,2000,Netherlands,Western Europe,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0
2300,2000,Russia,Eastern Europe,138,138,138,0,138,0,138,138,138,138,138,138,138,138,48,138,138,138,138,138,45,45,138,138,138,138,138,9,9,0,0,138,138,134,134,137,138,138,138,18,18,18,18,17,18,17,17,1,1,1,1,1,1,1,1,138,25,0,0,0,0,137,137,0,0,138,42,105,138,20,20,0,0,0,0,0,0,35,138,138,134,134,11,11,11,11,0,0,0,0,0,0,0,0,74,130,138,121,125,138,118,138,56,56,0,47,138,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,62,138,97,50,138,138,138,138,138,21
2305,2000,Slovak Republic,Eastern Europe,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0
2306,2000,Slovenia,Eastern Europe,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0
2310,2000,Spain,Western Europe,112,112,112,0,112,0,112,112,112,112,112,112,112,112,16,112,112,112,112,112,15,15,112,112,112,112,112,7,7,0,0,112,112,95,95,109,112,112,112,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,112,0,0,0,0,0,112,112,0,0,112,27,83,112,22,22,0,0,0,0,0,0,23,112,112,110,110,3,3,3,3,0,0,0,0,0,0,0,0,63,112,112,109,111,112,109,112,75,75,0,58,112,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,44,112,64,37,112,112,112,112,112,30
2314,2000,Sweden,Western Europe,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0
2315,2000,Switzerland,Western Europe,4,4,4,0,4,0,4,4,4,4,4,4,4,4,1,4,4,4,4,4,0,0,4,4,4,4,4,0,0,0,0,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,4,0,0,4,2,4,4,3,3,0,0,0,0,0,0,3,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,3,3,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,4,4,4,4,4,2
