,iyear,country_txt,region_txt,eventid,imonth,iday,approxdate,extended,resolution,country,region,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related
2355,2001,Estonia,Eastern Europe,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0
2357,2001,France,Western Europe,21,21,21,0,21,0,21,21,21,21,21,21,21,21,5,21,21,21,21,21,1,1,21,21,21,21,21,3,3,0,0,21,21,21,21,21,21,21,21,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,21,0,0,0,0,0,21,21,0,0,21,5,21,21,7,7,0,0,0,0,0,0,8,21,21,20,20,0,0,0,0,0,0,0,0,0,0,0,0,3,21,21,21,21,21,21,21,13,13,0,12,21,2,2,2,2,0,0,2,2,2,2,2,2,2,2,2,6,21,7,3,21,21,21,21,21,0
2359,2001,Germany,Western Europe,8,8,8,0,8,0,8,8,8,8,8,8,8,8,0,8,8,8,8,8,2,2,8,8,8,8,8,0,0,0,0,8,8,4,4,8,8,8,8,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,8,0,0,8,8,7,8,4,4,0,0,0,0,0,0,4,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,5,8,8,8,8,8,8,8,1,1,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,6,0,8,8,8,8,8,2
2360,2001,Greece,Western Europe,14,14,14,0,14,0,14,14,14,14,14,14,14,14,2,14,14,14,14,14,0,0,14,14,14,14,14,0,0,0,0,14,14,13,13,14,14,14,14,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,14,0,0,0,0,0,14,14,0,0,14,4,9,14,6,6,0,0,0,0,0,0,10,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,12,14,14,14,14,14,14,14,12,12,0,11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,10,3,14,14,14,14,14,7
2366,2001,Hungary,Eastern Europe,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0
2371,2001,Ireland,Western Europe,2,2,2,0,2,0,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,2,2,2,2,0
2373,2001,Italy,Western Europe,11,11,11,0,11,0,11,11,11,11,11,11,11,11,1,11,11,11,11,11,1,1,11,11,11,11,11,0,0,0,0,11,11,10,10,11,11,11,11,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,11,11,0,0,11,2,11,11,2,2,1,1,1,1,1,1,2,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,7,11,11,11,10,11,11,11,7,7,1,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,8,6,11,11,11,11,11,0
2379,2001,Kosovo,Eastern Europe,17,17,17,0,17,0,17,17,17,17,17,17,17,17,6,17,17,17,17,17,2,2,17,17,17,17,17,0,0,0,0,17,17,17,17,17,17,17,17,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,17,0,0,0,0,0,17,17,0,0,17,4,15,17,0,0,0,0,0,0,0,0,1,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,4,17,17,17,16,17,17,17,9,9,0,7,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17,9,6,17,17,17,17,17,0
2385,2001,Macedonia,Eastern Europe,67,67,67,0,67,2,67,67,66,67,66,66,67,67,26,67,67,67,67,67,4,4,67,67,67,67,67,2,2,0,0,67,67,66,66,67,67,67,67,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,67,7,1,0,0,0,67,67,1,0,67,10,62,67,2,2,1,0,0,0,0,0,2,67,67,55,55,6,6,6,6,2,2,2,2,0,0,0,0,12,67,67,67,66,67,65,67,31,31,0,18,67,10,10,0,10,0,0,8,5,5,5,5,5,10,10,9,11,67,39,21,67,67,67,67,67,19
2388,2001,Montenegro,Eastern Europe,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0
2392,2001,Netherlands,Western Europe,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0
2395,2001,Norway,Western Europe,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0
2399,2001,Poland,Eastern Europe,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0
2402,2001,Russia,Eastern Europe,135,135,135,1,135,2,135,135,135,135,135,135,135,135,41,135,135,135,135,135,37,37,135,135,135,135,135,17,17,1,1,135,135,126,126,133,135,133,133,18,18,18,18,18,18,16,16,1,1,1,1,1,1,1,1,135,12,0,0,0,0,135,135,0,0,135,28,114,135,8,8,0,0,0,0,0,0,10,135,135,132,132,23,23,23,23,1,1,1,1,0,0,0,0,44,133,135,131,127,134,130,135,74,74,0,47,135,5,5,3,2,0,0,5,1,1,1,1,0,5,5,6,22,135,76,29,135,135,135,135,135,16
2408,2001,Spain,Western Europe,79,79,79,1,79,0,79,79,79,79,79,79,79,79,13,79,79,79,79,79,11,11,79,79,79,79,79,3,3,0,0,79,79,78,78,78,79,79,79,7,7,6,6,6,7,7,7,1,1,1,1,1,1,1,1,79,0,0,0,0,0,79,79,0,0,79,17,71,79,16,16,0,0,0,0,0,0,17,79,79,76,76,1,1,1,1,0,0,0,0,0,0,0,0,32,79,79,79,78,79,79,79,63,63,0,50,79,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,20,79,36,19,79,79,79,79,79,18
2411,2001,Switzerland,Western Europe,2,2,2,0,2,0,2,2,2,2,2,2,2,2,0,2,2,2,2,2,1,1,2,2,2,2,2,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,2,1,1,2,1,1,0,0,0,0,0,0,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,2,2,2,2,0
2419,2001,United Kingdom,Western Europe,94,94,94,3,94,1,94,94,94,94,94,94,94,94,93,94,94,94,94,94,9,9,94,94,94,94,94,2,2,0,0,94,94,92,92,92,94,94,94,5,5,4,4,5,5,5,5,0,0,0,0,0,0,0,0,94,0,0,0,0,0,94,94,0,0,94,41,84,94,25,25,0,0,0,0,0,0,25,94,94,94,94,4,4,3,3,0,0,0,0,0,0,0,0,31,94,94,94,94,94,94,94,40,40,0,34,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,94,73,51,94,94,94,94,94,24
2425,2001,Yugoslavia,Eastern Europe,20,20,20,0,20,0,20,20,20,20,20,20,20,20,9,20,20,20,20,20,1,1,20,20,20,20,20,3,3,0,0,20,20,19,19,20,20,20,20,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,20,0,0,0,0,0,20,20,0,0,20,5,17,20,0,0,0,0,0,0,0,0,5,20,20,18,18,4,4,4,4,3,3,3,3,0,0,0,0,8,17,20,19,18,20,19,20,6,6,0,7,20,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,7,20,13,7,20,20,20,20,20,2
2432,2002,Belgium,Western Europe,3,3,3,0,3,0,3,3,3,3,3,3,3,3,0,3,3,3,3,3,1,1,3,3,3,3,3,0,0,0,0,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,3,3,3,2,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,3,3,3,3,3,0
2433,2002,Bosnia-Herzegovina,Eastern Europe,3,3,3,0,3,0,3,3,3,3,3,3,3,3,0,3,3,3,3,3,0,0,3,3,3,3,3,0,0,0,0,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,3,0,2,3,0,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,2,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,3,3,3,0
2435,2002,Bulgaria,Eastern Europe,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0
2445,2002,France,Western Europe,32,32,32,15,32,0,32,32,32,32,32,32,32,32,10,32,32,32,32,32,4,4,32,32,32,32,32,0,0,0,0,32,32,27,27,28,32,32,32,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,32,0,0,0,0,0,32,32,0,0,32,18,31,32,2,2,0,0,0,0,0,0,3,32,32,32,32,1,1,1,1,0,0,0,0,0,0,0,0,4,32,32,32,32,32,32,32,18,18,0,12,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,32,24,3,32,32,32,32,32,19
2447,2002,Germany,Western Europe,3,3,3,1,3,0,3,3,3,3,3,3,3,3,1,3,3,3,3,3,0,0,3,3,3,3,3,0,0,0,0,3,3,2,2,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,3,0,0,3,3,3,3,1,1,0,0,0,0,0,0,1,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,2,2,0,1,3,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,3,2,2,3,3,3,3,3,0
2448,2002,Greece,Western Europe,11,11,11,0,11,0,11,11,11,11,11,11,11,11,0,11,11,11,11,11,0,0,11,11,11,11,11,0,0,0,0,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,11,11,0,0,11,1,6,11,3,3,0,0,0,0,0,0,4,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,2,11,11,11,11,11,11,11,9,9,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,5,2,11,11,11,11,11,3
2457,2002,Italy,Western Europe,7,7,7,0,7,0,7,7,7,7,6,6,7,7,3,7,7,7,7,7,0,0,7,7,7,7,7,0,0,0,0,7,7,7,7,7,7,7,7,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,7,0,0,7,5,7,7,4,4,0,0,0,0,0,0,4,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,6,7,7,7,7,7,7,7,2,2,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,4,2,7,7,7,7,7,4
2462,2002,Kosovo,Eastern Europe,5,5,5,0,5,0,5,5,5,5,5,5,5,5,1,5,5,5,5,5,1,1,5,5,5,5,5,0,0,0,0,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,5,0,0,5,2,5,5,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,5,5,5,5,4,4,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,5,5,5,5,5,0
2467,2002,Macedonia,Eastern Europe,8,8,8,0,8,0,8,8,8,8,8,8,8,8,1,8,8,8,8,8,2,2,8,8,8,8,8,1,1,0,0,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,8,0,0,8,1,6,8,0,0,0,0,0,0,0,0,0,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,4,4,0,1,8,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,5,8,7,4,8,8,8,8,8,0
2472,2002,Netherlands,Western Europe,2,2,2,0,2,0,2,2,2,2,2,2,2,2,0,2,2,2,2,2,0,0,2,2,2,2,2,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,2,1,2,2,0,0,0,0,0,0,0,0,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,2,2,2,2,2,0
2479,2002,Russia,Eastern Europe,89,89,89,1,89,1,89,89,89,89,89,89,89,89,23,89,89,89,89,89,18,18,89,89,89,89,89,9,9,0,0,89,89,88,88,88,89,89,89,5,5,5,5,6,6,6,6,0,0,0,0,0,0,0,0,89,19,1,0,1,0,88,88,1,1,89,20,66,89,6,6,1,0,0,0,0,0,20,89,89,87,87,19,19,17,17,2,2,2,2,0,0,0,0,31,88,89,84,77,89,81,89,61,61,0,27,89,4,4,3,3,0,1,3,0,0,0,0,1,4,4,3,29,89,51,27,89,89,89,89,89,14
2485,2002,Spain,Western Europe,41,41,41,1,41,0,41,41,41,41,41,41,41,41,7,41,41,41,41,41,2,2,41,41,41,41,41,5,5,0,0,41,41,38,38,39,40,41,41,11,11,11,11,10,11,11,11,4,4,3,3,3,3,4,4,41,0,0,0,0,0,41,41,0,0,41,12,32,41,10,10,0,0,0,0,0,0,14,41,41,41,41,6,6,5,5,0,0,0,0,0,0,0,0,26,41,41,41,40,41,40,41,32,32,0,18,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,41,31,19,41,41,41,41,41,19
2494,2002,Ukraine,Eastern Europe,3,3,3,0,3,0,3,3,3,3,3,3,3,3,1,3,3,3,3,3,0,0,3,3,3,3,3,0,0,0,0,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,3,2,2,3,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,2,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,3,3,3,3,3,0
2495,2002,United Kingdom,Western Europe,21,21,21,0,21,0,21,21,21,21,21,21,21,21,21,21,21,21,21,21,3,3,21,21,21,21,21,1,1,0,0,21,21,19,19,21,21,21,21,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,21,0,2,0,0,0,21,21,2,0,21,7,16,21,5,5,2,1,1,0,0,0,7,21,21,19,19,1,1,1,1,0,0,0,0,0,0,0,0,14,21,21,21,21,20,21,21,12,12,0,5,21,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,21,17,10,21,21,21,21,21,4
2500,2002,Yugoslavia,Eastern Europe,3,3,3,0,3,0,3,3,3,3,3,3,3,3,1,3,3,3,3,3,0,0,3,3,3,3,3,0,0,0,0,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,3,0,2,3,0,0,0,0,0,0,0,0,1,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,2,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,3,3,3,3,3,0
2504,2003,Albania,Eastern Europe,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
2509,2003,Belgium,Western Europe,8,8,8,0,8,0,8,8,8,8,8,8,8,8,0,8,8,8,8,8,0,0,8,8,8,8,8,0,0,0,0,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,8,0,0,8,0,8,8,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,7,8,8,0,0,0,0,8,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8
2511,2003,Bosnia-Herzegovina,Eastern Europe,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0
2518,2003,Czech Republic,Eastern Europe,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0
2523,2003,France,Western Europe,34,34,34,0,34,0,34,34,34,34,34,34,34,34,2,34,34,34,34,34,6,6,34,34,34,34,34,0,0,0,0,34,34,30,30,28,34,34,34,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,34,0,0,0,0,0,34,34,0,0,34,1,25,34,13,13,0,0,0,0,0,0,15,34,34,34,34,0,0,0,0,0,0,0,0,0,0,0,0,4,34,34,31,31,34,31,34,29,29,0,16,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,34,20,5,34,34,34,34,34,17
2525,2003,Germany,Western Europe,2,2,2,0,2,0,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,2,1,2,2,1,1,0,0,0,0,0,0,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,0,0,0,2,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,2,1,1,2,2,2,2,2,1
2526,2003,Greece,Western Europe,12,12,12,0,12,0,12,12,12,12,12,12,12,12,0,12,12,12,12,12,4,4,12,12,12,12,12,0,0,0,0,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,12,12,0,0,12,0,11,12,4,4,0,0,0,0,0,0,4,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,7,12,12,12,12,12,12,12,7,7,2,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,9,6,12,12,12,12,12,7
2535,2003,Ireland,Western Europe,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0
2537,2003,Italy,Western Europe,15,15,15,0,15,0,15,15,15,15,14,14,15,15,0,15,15,15,15,15,0,0,15,15,15,15,15,0,0,0,0,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,15,15,0,0,15,0,15,15,3,3,0,0,0,0,0,0,3,15,15,14,14,0,0,0,0,0,0,0,0,0,0,0,0,7,15,15,15,15,14,15,15,6,6,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,11,9,15,15,15,15,15,6
2540,2003,Kosovo,Eastern Europe,9,9,9,0,9,0,9,9,9,9,8,8,9,9,3,9,9,9,9,9,3,3,9,9,9,9,9,0,0,0,0,9,9,8,8,8,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,9,0,0,9,0,9,9,0,0,0,0,0,0,0,0,0,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,4,9,9,9,9,9,9,9,6,6,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,4,9,9,9,9,9,2
2546,2003,Macedonia,Eastern Europe,5,5,5,0,5,0,5,5,5,5,5,5,5,5,1,5,5,5,5,5,1,1,5,5,5,5,5,0,0,0,0,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,5,0,0,5,1,5,5,2,2,0,0,0,0,0,0,2,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,5,4,5,5,5,3,3,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,5,5,5,5,5,2
2551,2003,Netherlands,Western Europe,3,3,3,0,3,0,3,3,3,3,3,3,3,3,0,3,3,3,3,3,0,0,3,3,3,3,3,0,0,0,0,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,3,0,3,3,2,2,0,0,0,0,0,0,2,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,3,3,3,3,3,2
2554,2003,Norway,Western Europe,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0
